iter	Logloss
0	0.6929899698
1	0.6928624459
2	0.6927168245
3	0.6925623615
4	0.6924344556
5	0.6923115102
6	0.6921731133
7	0.6920395268
8	0.6919206309
9	0.6917822587
10	0.6916547683
11	0.6915224529
12	0.6914227239
13	0.6913205389
14	0.6912171979
15	0.6911081896
16	0.6909882207
17	0.6908869735
18	0.6907502499
19	0.6906340817
20	0.6905266581
21	0.6904165054
22	0.6903029735
23	0.6902040485
24	0.6901102796
25	0.6900250865
26	0.6899407012
27	0.6898464044
28	0.68976318
29	0.6896790199
30	0.6895751207
31	0.6895038339
32	0.6893883893
33	0.6892958981
34	0.6892087969
35	0.6891226816
36	0.689024903
37	0.6889389366
38	0.6888346366
39	0.6887584657
40	0.6886735957
41	0.6885797184
42	0.6884998913
43	0.6884032188
44	0.6883308167
45	0.6882369373
46	0.688170191
47	0.6880912229
48	0.6880175444
49	0.6879440487
50	0.6878629214
