iter	Passed	Remaining
0	26	13248
1	51	12699
2	76	12687
3	102	12733
4	128	12687
5	153	12616
6	183	12907
7	209	12866
8	237	12981
9	263	12896
10	284	12669
11	314	12793
12	340	12740
13	366	12708
14	394	12765
15	423	12799
16	449	12772
17	474	12719
18	500	12658
19	526	12628
20	551	12574
21	576	12523
22	601	12479
23	627	12436
24	652	12391
25	676	12336
26	702	12311
27	728	12278
28	752	12225
29	779	12209
30	804	12172
31	833	12193
32	857	12140
33	882	12100
34	908	12076
35	934	12048
36	964	12064
37	990	12043
38	1016	12019
39	1041	11980
40	1067	11950
41	1093	11926
42	1115	11859
43	1141	11829
44	1166	11790
45	1192	11766
46	1217	11736
47	1242	11704
48	1267	11663
49	1292	11632
50	1316	11592
